dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,170.602893,260.922160,168.352233,62.703477,-5.389560,-1.140389,0.618366
0.020000,171.624132,261.646273,169.604139,62.595283,-5.409704,-1.007172,0.615160
0.020000,172.645966,262.365784,170.853875,62.486820,-5.423173,-0.673459,0.611809
0.020000,173.668470,263.080544,172.101432,62.377837,-5.449136,-1.298159,0.608313
0.020000,174.691214,263.790053,173.346183,62.237558,-7.013950,-78.240674,0.604673
0.020000,175.710657,264.491690,174.583744,61.878080,-17.973915,-547.998286,0.600902
0.020000,176.720647,265.181145,175.806622,61.143862,-36.710907,-936.849567,0.597026
0.020000,177.715003,265.854237,177.007370,60.037411,-55.322552,-930.582292,0.593074
0.020000,178.687514,266.506921,178.178598,58.561391,-73.800981,-923.921427,0.589079
0.020000,179.631938,267.135290,179.312963,56.718245,-92.157321,-917.817001,0.585075
0.020000,180.542000,267.735574,180.403171,54.510424,-110.391056,-911.686744,0.581103
0.020000,181.411390,268.304130,181.441966,51.939749,-128.533735,-907.133972,0.577203
0.020000,182.233767,268.837442,182.422132,49.008295,-146.572698,-901.948130,0.573420
0.020000,183.002760,269.332099,183.336483,45.717528,-164.538358,-898.283014,0.569800
0.020000,183.711976,269.784787,184.177858,42.068779,-182.437460,-894.955083,0.566391
0.020000,184.355510,270.192586,184.939722,38.093190,-198.779419,-817.097944,0.563240
0.020000,184.930584,270.554581,185.619244,33.976117,-205.853634,-353.710744,0.560376
0.020000,185.437046,270.871473,186.216675,29.871547,-205.228507,31.256349,0.557818
0.020000,185.874759,271.143890,186.732237,25.778081,-204.673338,27.758431,0.555580
0.020000,186.244115,271.372702,187.166723,21.724325,-202.687773,99.278256,0.553671
0.020000,186.548666,271.560632,187.524592,17.893414,-191.545545,557.111382,0.552084
0.020000,186.794623,271.711917,187.813350,14.437925,-172.774458,938.554387,0.550793
0.020000,186.988211,271.830682,188.040466,11.355815,-154.105482,933.448790,0.549771
0.020000,187.135684,271.920973,188.213384,8.645888,-135.496365,930.455829,0.548989
0.020000,187.243305,271.986764,188.339521,6.306864,-116.951217,927.257418,0.548417
0.020000,187.317350,272.031980,188.426281,4.337974,-98.444509,925.335365,0.548022
0.020000,187.364103,272.060510,188.481052,2.738533,-79.972028,923.624074,0.547773
0.020000,187.389855,272.076217,188.511216,1.508222,-61.515542,922.824323,0.547635
0.020000,187.400900,272.082952,188.524152,0.646810,-43.070592,922.247461,0.547576
0.020000,187.403532,272.084557,188.527235,0.154152,-24.632924,921.883410,0.547562
0.020000,187.403532,272.084557,188.527235,0.000000,-7.707594,846.266485,0.547562
