dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,84.685812,236.331585,65.465670,60.243165,5.610809,1.048726,0.519501
0.020000,85.731798,236.934108,66.672782,60.355611,5.622309,0.574999,0.525693
0.020000,86.776025,237.544155,67.882149,60.468354,5.637128,0.740942,0.531735
0.020000,87.818538,238.161573,69.093775,60.581284,5.646507,0.468933,0.537627
0.020000,88.859378,238.786206,70.307659,60.694196,5.645600,-0.045356,0.543368
0.020000,89.898594,239.417900,71.523804,60.807235,5.651960,0.318042,0.548958
0.020000,90.936236,240.056500,72.742209,60.920273,5.651871,-0.004489,0.554397
0.020000,91.972353,240.701851,73.962871,61.033105,5.641637,-0.511673,0.559687
0.020000,93.007000,241.353798,75.185790,61.145914,5.640443,-0.059697,0.564825
0.020000,94.040233,242.012186,76.410961,61.258581,5.633351,-0.354629,0.569814
0.020000,95.072107,242.676860,77.638380,61.370921,5.617003,-0.817372,0.574652
0.020000,96.102684,243.347666,78.868041,61.483089,5.608406,-0.429878,0.579341
0.020000,97.132025,244.024450,80.099942,61.595028,5.596948,-0.572870,0.583881
0.020000,98.160192,244.707058,81.334074,61.706581,5.577603,-0.967249,0.588273
0.020000,99.187250,245.395336,82.570430,61.817807,5.561307,-0.814798,0.592515
0.020000,100.213269,246.089133,83.809005,61.928769,5.548095,-0.660599,0.596610
0.020000,101.238316,246.788297,85.049792,62.039340,5.528555,-0.977015,0.600558
0.020000,102.262462,247.492673,86.292780,62.149423,5.504182,-1.218666,0.604359
0.020000,103.285780,248.202114,87.537965,62.259255,5.491594,-0.629407,0.608013
0.020000,104.308345,248.916469,88.785339,62.368690,5.471717,-0.993823,0.611521
0.020000,105.330231,249.635586,90.034892,62.477619,5.446483,-1.261687,0.614884
0.020000,106.351517,250.359318,91.286616,62.586202,5.429160,-0.866174,0.618103
0.020000,107.372283,251.087516,92.540504,62.694429,5.411337,-0.891163,0.621177
0.020000,108.392610,251.820033,93.796549,62.802246,5.390834,-1.025135,0.624107
0.020000,109.412579,252.556721,95.054740,62.909547,5.365063,-1.288528,0.626894
0.020000,110.432275,253.297434,96.315072,63.016588,5.352048,-0.650761,0.629539
0.020000,111.451785,254.042026,97.577537,63.123245,5.332860,-0.959409,0.632041
0.020000,112.471194,254.790353,98.842127,63.229499,5.312688,-1.008588,0.634402
0.020000,113.490590,255.542269,100.108834,63.335345,5.292311,-1.018875,0.636621
0.020000,114.510065,256.297631,101.377652,63.440929,5.279206,-0.655253,0.638700
0.020000,115.529709,257.056296,102.648576,63.546180,5.262539,-0.833340,0.640639
0.020000,116.549615,257.818120,103.921598,63.651085,5.245250,-0.864457,0.642437
0.020000,117.569876,258.582961,105.196711,63.755669,5.229186,-0.803180,0.644096
0.020000,118.590588,259.350677,106.473912,63.860033,5.218227,-0.547970,0.645616
0.020000,119.611848,260.121127,107.753194,63.964136,5.205144,-0.654121,0.646997
0.020000,120.633752,260.894169,109.034554,64.067982,5.192308,-0.641808,0.648240
0.020000,121.656400,261.669662,110.317986,64.171588,5.180277,-0.601555,0.649345
0.020000,122.679891,262.447466,111.603487,64.275044,5.172825,-0.372610,0.650311
0.020000,123.704327,263.227439,112.891053,64.378326,5.164059,-0.438300,0.651140
0.020000,124.729810,264.009441,114.180682,64.481452,5.156315,-0.387207,0.651831
0.020000,125.756443,264.793332,115.472371,64.584430,5.148923,-0.369580,0.652386
0.020000,126.784331,265.578970,116.766118,64.687340,5.145467,-0.172814,0.652802
0.020000,127.813578,266.366216,118.061921,64.790169,5.141461,-0.200296,0.653082
0.020000,128.844291,267.154929,119.359780,64.892943,5.138682,-0.138945,0.653225
0.020000,129.876578,267.944967,120.659694,64.995688,5.137268,-0.070706,0.653231
0.020000,130.910546,268.736189,121.961662,65.098438,5.137492,0.011195,0.653099
0.020000,131.946305,269.528454,123.265686,65.201207,5.138459,0.048338,0.652831
0.020000,132.983964,270.321618,124.571767,65.304020,5.140633,0.108702,0.652426
0.020000,134.023634,271.115539,125.879905,65.406920,5.144999,0.218308,0.651883
0.020000,135.065428,271.910074,127.190104,65.509916,5.149824,0.241238,0.651203
0.020000,136.109457,272.705078,128.502364,65.613019,5.155164,0.267024,0.650386
0.020000,137.155834,273.500406,129.816689,65.716263,5.162168,0.350218,0.649431
0.020000,138.204672,274.295912,131.133083,65.819695,5.171603,0.471721,0.648338
0.020000,139.256088,275.091450,132.451550,65.923332,5.181860,0.512848,0.647107
0.020000,140.310194,275.886870,133.772093,66.027146,5.190705,0.442286,0.645737
0.020000,141.367107,276.682024,135.094716,66.131189,5.202167,0.573090,0.644229
0.020000,142.426942,277.476761,136.419427,66.235512,5.216117,0.697508,0.642582
0.020000,143.489816,278.270929,137.746230,66.340143,5.231552,0.771708,0.640795
0.020000,144.555846,279.064375,139.075130,66.445006,5.243178,0.581317,0.638868
0.020000,145.625148,279.856943,140.406133,66.550175,5.258454,0.763786,0.636801
0.020000,146.697839,280.648477,141.739247,66.655709,5.276691,0.911876,0.634594
0.020000,147.774038,281.438819,143.074480,66.761620,5.295523,0.941577,0.632245
0.020000,148.853862,282.227808,144.411836,66.867810,5.309538,0.700740,0.629755
0.020000,149.937426,283.015281,145.751323,66.974364,5.327680,0.907104,0.627122
0.020000,151.024851,283.801075,147.092951,67.081370,5.350300,1.131024,0.624347
0.020000,152.116252,284.585023,148.436726,67.188751,5.369065,0.938238,0.621428
0.020000,153.211746,285.366955,149.782655,67.296460,5.385448,0.819172,0.618366
0.020000,154.311449,286.146701,151.130746,67.404564,5.405162,0.985669,0.615160
0.020000,155.415479,286.924089,152.481010,67.513211,5.432372,1.360527,0.611809
0.020000,156.523949,287.698940,153.833453,67.622134,5.446150,0.688885,0.608313
0.020000,157.636421,288.470694,155.187409,67.697793,3.782939,-83.160562,0.604673
0.020000,158.749051,289.236466,156.538095,67.534294,-8.174932,-597.893524,0.600902
0.020000,159.855077,289.991477,157.877250,66.957763,-28.826557,-1032.581249,0.597026
0.020000,160.947615,290.731028,159.196558,65.965416,-49.617365,-1039.540416,0.593074
0.020000,162.019658,291.450509,160.487654,64.554777,-70.531915,-1045.727482,0.589079
0.020000,163.064074,292.145406,161.742121,62.723360,-91.570875,-1051.948028,0.585075
0.020000,164.073617,292.811306,162.951501,60.469014,-112.717290,-1057.320743,0.581103
0.020000,165.040920,293.443894,164.107288,57.789316,-133.984885,-1063.379738,0.577203
0.020000,165.958516,294.038953,165.200941,54.682647,-155.333484,-1067.429940,0.573420
0.020000,166.818842,294.592360,166.223887,51.147331,-176.765788,-1071.615208,0.569800
0.020000,167.614263,295.100072,167.167533,47.182264,-198.253350,-1074.378099,0.566391
0.020000,168.337663,295.558479,168.023947,42.820708,-218.077818,-991.223426,0.563240
0.020000,168.985432,295.966235,168.789367,38.271037,-227.483542,-470.286158,0.560376
0.020000,169.556954,296.323834,169.463545,33.708871,-228.108309,-31.238367,0.557818
0.020000,170.051682,296.631734,170.046261,29.135787,-228.654180,-27.293532,0.555580
0.020000,170.469715,296.890701,170.538008,24.587364,-227.421123,61.652823,0.553671
0.020000,170.814794,297.103640,170.943499,20.274544,-215.641034,589.004436,0.552084
0.020000,171.093738,297.275215,171.270986,16.374373,-195.008561,1031.623662,0.550793
0.020000,171.313454,297.410009,171.528754,12.888404,-174.298427,1035.506697,0.549771
0.020000,171.480926,297.512544,171.725122,9.818371,-153.501672,1039.837761,0.548989
0.020000,171.603193,297.587289,171.868426,7.165219,-132.657579,1042.204664,0.548417
0.020000,171.687341,297.638675,171.967023,4.929871,-111.767420,1044.507922,0.548022
0.020000,171.740485,297.671104,172.029280,3.112825,-90.852259,1045.758078,0.547773
0.020000,171.769760,297.688961,172.063571,1.714569,-69.912809,1046.972462,0.547635
0.020000,171.782317,297.696618,172.078278,0.735349,-48.961011,1047.589929,0.547576
0.020000,171.785309,297.698443,172.081784,0.175257,-28.004601,1047.820470,0.547562
0.020000,171.785309,297.698443,172.081784,0.000000,-8.762850,962.087565,0.547562
